"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Bestow Curse","PHB'24","246","3rd","Action","Concentration, up to 1 minute","Necromancy","Touch","V, S","Bard, Cleric, Wizard","","You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.The target has Disadvantage on attack rolls against you.In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage."," Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled."
"Blade Barrier","PHB'24","247","6th","Action","Concentration, up to 10 minutes","Evocation","90 feet","V, S","Cleric","","You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters Cover, and its space is Difficult Terrain.Any creature in the wall's space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall's space or ends it turn there. A creature makes that save only once per turn.",""
"Bless","PHB'24","247","1st","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a Holy Symbol worth 5+ GP)","Cleric, Paladin","","You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4 to the attack roll or save."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Blindness/Deafness","PHB'24","248","2nd","Action","1 minute","Transmutation","120 feet","V","Bard, Cleric, Sorcerer, Wizard","","One creature that you can see within range must succeed on a Constitution saving throw, or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2."
"Borrowed Knowledge","SCC","37","2nd","Action","1 hour","Divination","Self","V, S, M (a book worth at least 25 gp)","Bard, Bard, Cleric, Cleric, Warlock, Warlock, Wizard, Wizard","","You draw on knowledge from spirits of the past. Choose one skill in which you lack proficiency. For the spell's duration, you have proficiency in the chosen skill. The spell ends early if you cast it again.",""
"Calm Emotions","PHB'24","249","2nd","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Bard, Cleric","","Each Humanoid in a 20-foot-radius Sphere centered on a point you choose within range must succeed on a Charisma saving throw or be affected by one of the following effects (choose for each creature):The creature has Immunity to the Charmed and Frightened conditions until the spell ends. If the creature was already Charmed or Frightened, those conditions are suppressed for the duration.The creature becomes Indifferent about creatures of your choice that it's Hostile toward. This indifference ends if the target takes damage or witnesses its allies taking damage. When the spell ends, the creature's attitude returns to normal.",""
"Ceremony","XGE","151","1st","1 Hr.","Instantaneous","Abjuration (ritual)","Touch","V, S, M (25 gp worth of powdered silver, which the spell consumes)","Cleric, Cleric, Paladin, Paladin","","You perform a special religious ceremony that is infused with magic. When you cast the spell, choose one of the following rites, the target of which must be within 10 feet of you throughout the casting. Atonement. You touch one willing creature whose alignment has changed, and you make a DC 20 Wisdom (Insight) check. On a successful check, you restore the target to its original alignment. Bless Water. You touch one vial of water and cause it to become holy water. Coming of Age. You touch one humanoid who is a young adult. For the next 24 hours, whenever the target makes an ability check, it can roll a d4 and add the number rolled to the ability check. A creature can benefit from this rite only once. Dedication. You touch one humanoid who wishes to be dedicated to your god's service. For the next 24 hours, whenever the target makes a saving throw, it can roll a d4 and add the number rolled to the save. A creature can benefit from this rite only once. Funeral Rite. You touch one corpse, and for the next 7 days, the target can't become undead by any means short of a wish spell. Wedding. You touch adult humanoids willing to be bonded together in marriage. For the next 7 days, each target gains a +2 bonus to AC while they are within 30 feet of each other. A creature can benefit from this rite again only if widowed.",""
"Circle of Power","PHB'24","250","5th","Action","Concentration, up to 10 minutes","Abjuration","Self","V","Cleric, Paladin, Wizard","","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Advantage on saving throws against spells and other magical effects. When an affected creature makes a saving throw against a spell or magical effect that allows a save to take only half damage, it takes no damage if it succeeds on the save.",""
"Clairvoyance","PHB'24","250","3rd","10 Min.","Concentration, up to 10 minutes","Divination","1 mile","V, S, M (a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing)","Bard, Cleric, Sorcerer, Wizard","","You create an Invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The intangible, invulnerable sensor remains in place for the duration.When you cast the spell, choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As a Bonus Action, you can switch between seeing and hearing.A creature that sees the sensor (such as a creature benefiting from See Invisibility or Truesight) sees a luminous orb about the size of your fist.",""
"Command","PHB'24","251","1st","Action","Instantaneous","Enchantment","60 feet","V","Bard, Cleric, Paladin","","You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. Choose the command from these options:Approach. The target moves toward you by the shortest and most direct route, ending its turn if it moves within 5 feet of you.Drop. The target drops whatever it is holding and then ends its turn.Flee. The target spends its turn moving away from you by the fastest available means.Grovel. The target has the Prone condition and then ends its turn.Halt. On its turn, the target doesn't move and takes no action or Bonus Action."," Using a Higher-Level Spell Slot. You can affect one additional creature for each spell slot level above 1."
"Commune","PHB'24","251","5th","1 Min.","1 minute","Divination (ritual)","Self","V, S, M (incense)","Cleric","","You contact a deity or a divine proxy and ask up to three questions that can be answered with yes or no. You must ask your questions before the spell ends. You receive a correct answer for each question.Divine beings aren't necessarily omniscient, so you might receive ""unclear"" as an answer if a question pertains to information that lies beyond the deity's knowledge. In a case where a one-word answer could be misleading or contrary to the deity's interests, the DM might offer a short phrase as an answer instead.If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Conjure Celestial","PHB'24","254","7th","Action","Concentration, up to 10 minutes","Conjuration","90 feet","V, S","Cleric","","You conjure a spirit from the Upper Planes, which manifests as a pillar of light in a 10-foot-radius, 40-foot-high Cylinder centered on a point within range. For each creature you can see in the Cylinder, choose which of these lights shines on it:Healing Light. The target regains Hit Points equal to 4d12 plus your spellcasting ability modifier.Searing Light. The target makes a Dexterity saving throw, taking 6d12 Radiant damage on a failed save or half as much damage on a successful one.Until the spell ends, Bright Light fills the Cylinder, and when you move on your turn, you can also move the Cylinder up to 30 feet.Whenever the Cylinder moves into the space of a creature you can see and whenever a creature you can see enters the Cylinder or ends its turn there, you can bathe it in one of the lights. A creature can be affected by this spell only once per turn."," Using a Higher-Level Spell Slot. The healing and damage increase by 1d12 for each spell slot level above 7."
"Contagion","PHB'24","256","5th","Action","7 days","Necromancy","Touch","V, S","Cleric, Druid","","Your touch inflicts a magical contagion. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned, the target has Disadvantage on saving throws made with the chosen ability.The target must repeat the saving throw at the end of each of its turns until it gets three successes or failures. If the target succeeds on three of these saves, the spell ends on the target. If the target fails three of the saves, the spell lasts for 7 days on it.Whenever the Poisoned target receives an effect that would end the Poisoned condition, the target must succeed on a Constitution saving throw, or the Poisoned condition doesn't end on it.",""
"Continual Flame","PHB'24","256","2nd","Action","Until dispelled","Evocation","Touch","V, S, M (ruby dust worth 50+ GP, which the spell consumes)","Artificer, Cleric, Druid, Wizard","","A flame springs from an object that you touch. The effect casts Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. It looks like a regular flame, but it creates no heat and consumes no fuel. The flame can be covered or hidden but not smothered or quenched.",""
"Control Water","PHB'24","256","4th","Action","Concentration, up to 10 minutes","Transmutation","300 feet","V, S, M (a mixture of water and dust)","Cleric, Druid, Wizard","","Until the spell ends, you control any water inside an area you choose that is a Cube up to 100 feet on a side, using one of the following effects. As a Magic action on your later turns, you can repeat the same effect or choose a different one. Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes. Any Huge or smaller vehicles in the wave's path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing.The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts. Part Water. You part water in the area and create a trench. The trench extends across the spell's area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored. Redirect Flow. You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell's area, it resumes its flow based on the terrain. The water continues to move in the direction you chose until the spell ends or you choose a different effect. Whirlpool. You cause a whirlpool to form in the center of the area, which must be at least 50 feet square and 25 feet deep. The whirlpool lasts until you choose a different effect or the spell ends. The whirlpool is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature in the water and within 25 feet of the whirlpool is pulled 10 feet toward it. When a creature enters the whirlpool for the first time on a turn or ends its turn there, it makes a Strength saving throw. On a failed save, the creature takes 2d8 Bludgeoning damage. On a successful save, the creature takes half as much damage. A creature can swim away from the whirlpool only if it first takes an action to pull away and succeeds on a Strength (Athletics) check against your spell save DC.",""
"Control Weather","PHB'24","257","8th","10 Min.","Concentration, up to 8 hours","Transmutation","Self","V, S, M (burning incense)","Cleric, Druid, Wizard","","You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell, and it ends early if you go indoors.When you cast the spell, you change the current weather conditions, which are determined by the DM. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.PrecipitationStageCondition1Clear2Light clouds3Overcast or ground fog4Rain, hail, or snow5Torrential rain, driving hail, or blizzardTemperatureStageCondition1Heat wave2Hot3Warm4Cool5Cold6FreezingWindStageCondition1Calm2Moderate wind3Strong wind4Gale5Storm",""
"Create Food and Water","PHB'24","258","3rd","Action","Instantaneous","Conjuration","30 feet","V, S","Artificer, Cleric, Paladin","","You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within range—both useful in fending off the hazards of malnutrition and dehydration. The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten.",""
"Create Undead","PHB'24","258","6th","1 Min.","Instantaneous","Necromancy","10 feet","V, S, M (one 150+ GP black onyx stone for each corpse)","Cleric, Warlock, Wizard","","You can cast this spell only at night. Choose up to three corpses of Medium or Small Humanoids within range. Each one becomes a Ghoul under your control (see the Monster Manual for its stat block).As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to them). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a particular place. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow the order until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell rather than animating new ones."," Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls. If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights. If you use a level 9 spell slot, you can animate or reassert control over six Ghouls, three Ghasts or Wights, or two Mummies. See the Monster Manual for these stat blocks."
"Create or Destroy Water","PHB'24","258","1st","Action","Instantaneous","Transmutation","30 feet","V, S, M (a mix of water and sand)","Cleric, Druid","","You do one of the following:Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there.Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range."," Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1."
"Cure Wounds","PHB'24","259","1st","Action","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1."
"Dawn","XGE","153","5th","Action","Concentration, up to 1 minute","Evocation","60 feet","V, S, M (a sunburst pendant worth at least 100 gp)","Cleric, Cleric, Wizard, Wizard","","The light of dawn shines down on a location you specify within range. Until the spell ends, a 30-foot-radius, 40-foot-high cylinder of bright light glimmers there. This light is sunlight.When the cylinder appears, each creature in it must make a Constitution saving throw, taking 4d10 radiant damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw whenever it ends its turn in the cylinder.If you're within 60 feet of the cylinder, you can move it up to 60 feet as a bonus action on your turn.",""
"Daylight","PHB'24","260","3rd","Action","1 hour","Evocation","60 feet","V, S","Cleric, Druid, Paladin, Ranger, Sorcerer","","For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 feet.Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",""
"Death Ward","PHB'24","261","4th","Action","8 hours","Abjuration","Touch","V, S","Cleric, Paladin","","You touch a creature and grant it a measure of protection from death. The first time the target would drop to 0 Hit Points before the spell ends, the target instead drops to 1 Hit Point, and the spell ends.If the spell is still in effect when the target is subjected to an effect that would kill it instantly without dealing damage, that effect is negated against the target, and the spell ends.",""
"Detect Evil and Good","PHB'24","261","1st","Action","Concentration, up to 10 minutes","Divination","Self","V, S","Cleric, Paladin","","For the duration, you sense the location of any Aberration, Celestial, Elemental, Fey, Fiend, or Undead within 30 feet of yourself. You also sense whether the Hallow spell is active there and, if so, where.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Detect Magic","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell's school of magic.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Detect Poison and Disease","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S, M (a yew leaf)","Cleric, Druid, Paladin, Ranger","","For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Dispel Evil and Good","PHB'24","263","5th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S, M (powdered silver and iron)","Cleric, Paladin","","For the duration, Celestials, Elementals, Fey, Fiends, and Undead have Disadvantage on attack rolls against you. You can end the spell early by using either of the following special functions. Break Enchantment. As a Magic action, you touch a creature that is possessed by or has the Charmed or Frightened condition from one or more creatures of the types above. The target is no longer possessed, Charmed, or Frightened by such creatures. Dismissal. As a Magic action, you target one creature you can see within 5 feet of you that has one of the creature types above. The target must succeed on a Charisma saving throw or be sent back to its home plane if it isn't there already. If they aren't on their home plane, Undead are sent to the Shadowfell, and Fey are sent to the Feywild.",""
"Dispel Magic","PHB'24","264","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends."," Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use."
"Divination","PHB'24","264","4th","Action","Instantaneous","Divination (ritual)","Self","V, S, M (incense worth 25+ GP, which the spell consumes)","Cleric, Druid, Wizard","","This spell puts you in contact with a god or a god's servants. You ask one question about a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply, which might be a short phrase or cryptic rhyme. The spell doesn't account for circumstances that might change the answer, such as the casting of other spells.If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Divine Word","PHB'24","265","7th","Bonus","Instantaneous","Evocation","30 feet","V","Cleric","","You utter a word imbued with power from the Upper Planes. Each creature of your choice in range makes a Charisma saving throw. On a failed save, a target that has 50 Hit Points or fewer suffers an effect based on its current Hit Points, as shown in the Divine Word Effects table. Regardless of its Hit Points, a Celestial, an Elemental, a Fey, or a Fiend target that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to the current plane for 24 hours by any means short of a Wish spell.Divine Word EffectsHit PointsEffect0-20The target dies.21-30The target has the Blinded, Deafened, and Stunned conditions for 1 hour.31-40The target has the Blinded and Deafened conditions for 10 minutes.41-50The target has the Deafened condition for 1 minute.",""
"Earthquake","PHB'24","267","8th","Action","Concentration, up to 1 minute","Transmutation","500 feet","V, S, M (a fractured rock)","Cleric, Druid, Sorcerer","","Choose a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a 100-foot-radius circle centered on that point. The ground there is Difficult Terrain.When you cast this spell and at the end of each of your turns for the duration, each creature on the ground in the area makes a Dexterity saving throw. On a failed save, a creature has the Prone condition, and its Concentration is broken.You can also cause the effects below. Fissures. A total of 1d6 fissures open in the spell's area at the end of the turn you cast it. You choose the fissures' locations, which can't be under structures. Each fissure is 1d10 × 10 feet deep and 10 feet wide, and it extends from one edge of the spell's area to another edge. A creature in the same space as a fissure must succeed on a Dexterity saving throw or fall in. A creature that successfully saves moves with the fissure's edge as it opens. Structures. The tremor deals 50 Bludgeoning damage to any structure in contact with the ground in the area when you cast the spell and at the end of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses.A creature within a distance from a collapsing structure equal to half the structure's height makes a Dexterity saving throw. On a failed save, the creature takes 12d6 Bludgeoning damage, has the Prone condition, and is buried in the rubble, requiring a DC 20 Strength (Athletics) check as an action to escape. On a successful save, the creature takes half as much damage only.",""
"Enhance Ability","PHB'24","268","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (fur or a feather)","Artificer, Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","","You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target."
"Etherealness","PHB'24","269","7th","Action","8 hours","Conjuration","Self","V, S","Bard, Cleric, Sorcerer, Warlock, Wizard","","You step into the border regions of the Ethereal Plane, where it overlaps with your current plane. You remain in the Border Ethereal for the duration. During this time, you can move in any direction. If you move up or down, every foot of movement costs an extra foot. You can perceive the plane you left, which looks gray, and you can't see anything there more than 60 feet away.While on the Ethereal Plane, you can affect and be affected only by creatures, objects, and effects on that plane. Creatures that aren't on the Ethereal Plane can't perceive or interact with you unless a feature gives them the ability to do so.When the spell ends, you return to the plane you left in the spot that corresponds to your space in the Border Ethereal. If you appear in an occupied space, you are shunted to the nearest unoccupied space and take Force damage equal to twice the number of feet you are moved.This spell ends instantly if you cast it while you are on the Ethereal Plane or a plane that doesn't border it, such as one of the Outer Planes."," Using a Higher-Level Spell Slot. You can target up to three willing creatures (including yourself) for each spell slot level above 7. The creatures must be within 10 feet of you when you cast the spell."
"Fast Friends","AI","75","3rd","Action","Concentration, up to 1 hour","Enchantment","30 feet","V","Bard, Bard, Cleric, Cleric, Wizard, Wizard","","When you need to make sure something gets done, you can't rely on vague promises, sworn oaths, or binding contracts of employment. When you cast this spell, choose one humanoid within range that can see and hear you, and that can understand you. The creature must succeed on a Wisdom saving throw or become charmed by you for the duration. While the creature is charmed in this way, it undertakes to perform any services or activities you ask of it in a friendly manner, to the best of its ability.You can set the creature new tasks when a previous task is completed, or if you decide to end its current task. If the service or activity might cause harm to the creature, or if it conflicts with the creature's normal activities and desires, the creature can make another Wisdom saving throw to try to end the effect. This save is made with advantage if you or your companions are fighting the creature. If the activity would result in certain death for the creature, the spell ends.When the spell ends, the creature knows it was charmed by you."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can target one additional creature for each slot level above 3rd."
"Feign Death","PHB'24","271","3rd","Action","1 hour","Necromancy (ritual)","Touch","V, S, M (a pinch of graveyard dirt)","Bard, Cleric, Druid, Wizard","","You touch a willing creature and put it into a cataleptic state that is indistinguishable from death.For the duration, the target appears dead to outward inspection and to spells used to determine the target's status. The target has the Blinded and Incapacitated conditions, and its Speed is 0.The target also has Resistance to all damage except Psychic damage, and it has Immunity to the Poisoned condition.",""
"Find Traps","PHB'24","273","2nd","Action","Instantaneous","Divination","120 feet","V, S","Cleric, Druid, Ranger","","You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn't reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.",""
