"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Bones of the Earth","XGE","150","6th","Action","Instantaneous","Transmutation","120 feet","V, S","Druid, Druid","","You cause up to six pillars of stone to burst from places on the ground that you can see within range. Each pillar is a cylinder that has a diameter of 5 feet and a height of up to 30 feet. The ground where a pillar appears must be wide enough for its diameter, and you can target the ground under a creature if that creature is Medium or smaller. Each pillar has AC 5 and 30 hit points. When reduced to 0 hit points, a pillar crumbles into rubble, which creates an area of difficult terrain with a 10-foot radius that lasts until the rubble is cleared. Each 5-foot-diameter portion of the area requires at least 1 minute to clear by hand.If a pillar is created under a creature, that creature must succeed on a Dexterity saving throw or be lifted by the pillar. A creature can choose to fail the save.If a pillar is prevented from reaching its full height because of a ceiling or other obstacle, a creature on the pillar takes 6d6 bludgeoning damage and is restrained, pinched between the pillar and the obstacle. The restrained creature can use an action to make a Strength or Dexterity check (the creature's choice) against the spell's save DC. On a success, the creature is no longer restrained and must either move off the pillar or fall off it."," At Higher Levels. When you cast this spell using a spell slot of 7th level or higher, you can create two additional pillars for each slot level above 6th."
"Call Lightning","PHB'24","248","3rd","Action","Concentration, up to 10 minutes","Conjuration","120 feet","V, S","Druid","","A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.If you're outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3."
"Charm Monster","PHB'24","249","4th","Action","1 hour","Enchantment","30 feet","V, S","Bard, Druid, Sorcerer, Warlock, Wizard","","One creature you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Charm Person","PHB'24","249","1st","Action","1 hour","Enchantment","30 feet","V, S","Bard, Druid, Sorcerer, Warlock, Wizard","","One Humanoid you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Commune with Nature","PHB'24","252","5th","1 Min.","1 minute","Divination (ritual)","Self","V, S","Druid, Ranger","","You commune with nature spirits and gain knowledge of the surrounding area. In the outdoors, the spell gives you knowledge of the area within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn't function where nature has been replaced by construction, such as in castles and settlements.Choose three of the following facts; you learn those facts as they pertain to the spell's area:Locations of settlementsLocations of portals to other planes of existenceLocation of one Challenge Rating 10+ creature (DM's choice) that is a Celestial, an Elemental, a Fey, a Fiend, or an UndeadThe most prevalent kind of plant, mineral, or Beast (you choose which to learn)Locations of bodies of waterFor example, you could determine the location of a powerful monster in the area, the locations of bodies of water, and the locations of any towns.",""
"Cone of Cold","PHB'24","253","5th","Action","Instantaneous","Evocation","Self","V, S, M (a small crystal or glass cone)","Druid, Sorcerer, Wizard","","You unleash a blast of cold air. Each creature in a 60-foot Cone originating from you makes a Constitution saving throw, taking 8d8 Cold damage on a failed save or half as much damage on a successful one. A creature killed by this spell becomes a frozen statue until it thaws."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5."
"Confusion","PHB'24","253","4th","Action","Concentration, up to 1 minute","Enchantment","90 feet","V, S, M (three nut shells)","Bard, Druid, Sorcerer, Wizard","","Each creature in a 10-foot-radius Sphere centered on a point you choose within range must succeed on a Wisdom saving throw, or that target can't take Bonus Actions or Reactions and must roll 1d10 at the start of each of its turns to determine its behavior for that turn, consulting the table below.1d10Behavior for the Turn1The target doesn't take an action, and it uses all its movement to move. Roll 1d4 for the direction: 1, north; 2, east; 3, south; or 4, west.2-6The target doesn't move or take actions.7-8The target doesn't move, and it takes the Attack action to make one melee attack against a random creature within reach. If none are within reach, the target takes no action.9-10The target chooses its behavior.At the end of each of its turns, an affected target repeats the save, ending the spell on itself on a success."," Using a Higher-Level Spell Slot. The Sphere's radius increases by 5 feet for each spell slot level above 4."
"Conjure Animals","PHB'24","254","3rd","Action","Concentration, up to 10 minutes","Conjuration","60 feet","V, S","Druid, Ranger","","You conjure nature spirits that appear as a Large pack of spectral, intangible animals in an unoccupied space you can see within range. The pack lasts for the duration, and you choose the spirits' animal form, such as wolves, serpents, or birds.You have Advantage on Strength saving throws while you're within 5 feet of the pack, and when you move on your turn, you can also move the pack up to 30 feet to an unoccupied space you can see.Whenever the pack moves within 10 feet of a creature you can see and whenever a creature you can see enters a space within 10 feet of the pack or ends its turn there, you can force that creature to make a Dexterity saving throw. On a failed save, the creature takes 3d10 Slashing damage. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3."
"Conjure Elemental","PHB'24","254","5th","Action","Concentration, up to 10 minutes","Conjuration","60 feet","V, S","Druid, Wizard","","You conjure a Large, intangible spirit from the Elemental Planes that appears in an unoccupied space within range. Choose the spirit's element, which determines its damage type: air (Lightning), earth (Thunder), fire (Fire), or water (Cold). The spirit lasts for the duration.Whenever a creature you can see enters the spirit's space or starts its turn within 5 feet of the spirit, you can force that creature to make a Dexterity saving throw if the spirit has no creature Restrained. On failed save, the target takes 8d8 damage of the spirit's type, and the target has the Restrained condition until the spell ends. At the start of each of its turns, the Restrained target repeats the save. On a failed save, the target takes 4d8 damage of the spirit's type. On a successful save, the target isn't Restrained by the spirit."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5."
"Conjure Fey","PHB'24","255","6th","Action","Concentration, up to 10 minutes","Conjuration","60 feet","V, S","Druid","","You conjure a Medium spirit from the Feywild in an unoccupied space you can see within range. The spirit lasts for the duration, and it looks like a Fey creature of your choice. When the spirit appears, you can make one melee spell attack against a creature within 5 feet of it. On a hit, the target takes Psychic damage equal to 3d12 plus your spellcasting ability modifier, and the target has the Frightened condition until the start of your next turn, with both you and the spirit as the source of the fear.As a Bonus Action on your later turns, you can teleport the spirit to an unoccupied space you can see within 30 feet of the space it left and make the attack against a creature within 5 feet of it."," Using a Higher-Level Spell Slot. The damage increases by 1d12 for each spell slot level above 6."
"Conjure Minor Elementals","PHB'24","255","4th","Action","Concentration, up to 10 minutes","Conjuration","Self","V, S","Druid, Wizard","","You conjure spirits from the Elemental Planes that flit around you in a 15-foot Emanation for the duration. Until the spell ends, any attack you make deals an extra 2d8 damage when you hit a creature in the Emanation. This damage is Acid, Cold, Fire, or Lightning (your choice when you make the attack).In addition, the ground in the Emanation is Difficult Terrain for your enemies."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
"Conjure Woodland Beings","PHB'24","255","4th","Action","Concentration, up to 10 minutes","Conjuration","Self","V, S","Druid, Ranger","","You conjure nature spirits that flit around you in a 10-foot Emanation for the duration. Whenever the Emanation enters the space of a creature you can see and whenever a creature you can see enters the Emanation or ends its turn there, you can force that creature to make a Wisdom saving throw. The creature takes 5d8 Force damage on a failed save or half as much damage on a successful one. A creature makes this save only once per turn.In addition, you can take the Disengage action as a Bonus Action for the spell's duration."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
"Contagion","PHB'24","256","5th","Action","7 days","Necromancy","Touch","V, S","Cleric, Druid","","Your touch inflicts a magical contagion. The target must succeed on a Constitution saving throw or take 11d8 Necrotic damage and have the Poisoned condition. Also, choose one ability when you cast the spell. While Poisoned, the target has Disadvantage on saving throws made with the chosen ability.The target must repeat the saving throw at the end of each of its turns until it gets three successes or failures. If the target succeeds on three of these saves, the spell ends on the target. If the target fails three of the saves, the spell lasts for 7 days on it.Whenever the Poisoned target receives an effect that would end the Poisoned condition, the target must succeed on a Constitution saving throw, or the Poisoned condition doesn't end on it.",""
"Continual Flame","PHB'24","256","2nd","Action","Until dispelled","Evocation","Touch","V, S, M (ruby dust worth 50+ GP, which the spell consumes)","Artificer, Cleric, Druid, Wizard","","A flame springs from an object that you touch. The effect casts Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. It looks like a regular flame, but it creates no heat and consumes no fuel. The flame can be covered or hidden but not smothered or quenched.",""
"Control Flames","XGE","152","Cantrip","Action","Instantaneous or 1 hour (see below)","Transmutation","60 feet","S","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways:You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location.You instantaneously extinguish the flames within the cube.You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour.You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour.If you cast this spell multiple times, you can have up to three non-instantaneous effects created by it active at a time, and you can dismiss such an effect as an action.",""
"Control Water","PHB'24","256","4th","Action","Concentration, up to 10 minutes","Transmutation","300 feet","V, S, M (a mixture of water and dust)","Cleric, Druid, Wizard","","Until the spell ends, you control any water inside an area you choose that is a Cube up to 100 feet on a side, using one of the following effects. As a Magic action on your later turns, you can repeat the same effect or choose a different one. Flood. You cause the water level of all standing water in the area to rise by as much as 20 feet. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes. Any Huge or smaller vehicles in the wave's path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing.The water level remains elevated until the spell ends or you choose a different effect. If this effect produced a wave, the wave repeats on the start of your next turn while the flood effect lasts. Part Water. You part water in the area and create a trench. The trench extends across the spell's area, and the separated water forms a wall to either side. The trench remains until the spell ends or you choose a different effect. The water then slowly fills in the trench over the course of the next round until the normal water level is restored. Redirect Flow. You cause flowing water in the area to move in a direction you choose, even if the water has to flow over obstacles, up walls, or in other unlikely directions. The water in the area moves as you direct it, but once it moves beyond the spell's area, it resumes its flow based on the terrain. The water continues to move in the direction you chose until the spell ends or you choose a different effect. Whirlpool. You cause a whirlpool to form in the center of the area, which must be at least 50 feet square and 25 feet deep. The whirlpool lasts until you choose a different effect or the spell ends. The whirlpool is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature in the water and within 25 feet of the whirlpool is pulled 10 feet toward it. When a creature enters the whirlpool for the first time on a turn or ends its turn there, it makes a Strength saving throw. On a failed save, the creature takes 2d8 Bludgeoning damage. On a successful save, the creature takes half as much damage. A creature can swim away from the whirlpool only if it first takes an action to pull away and succeeds on a Strength (Athletics) check against your spell save DC.",""
"Control Weather","PHB'24","257","8th","10 Min.","Concentration, up to 8 hours","Transmutation","Self","V, S, M (burning incense)","Cleric, Druid, Wizard","","You take control of the weather within 5 miles of you for the duration. You must be outdoors to cast this spell, and it ends early if you go indoors.When you cast the spell, you change the current weather conditions, which are determined by the DM. You can change precipitation, temperature, and wind. It takes 1d4 × 10 minutes for the new conditions to take effect. Once they do so, you can change the conditions again. When the spell ends, the weather gradually returns to normal.When you change the weather conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.PrecipitationStageCondition1Clear2Light clouds3Overcast or ground fog4Rain, hail, or snow5Torrential rain, driving hail, or blizzardTemperatureStageCondition1Heat wave2Hot3Warm4Cool5Cold6FreezingWindStageCondition1Calm2Moderate wind3Strong wind4Gale5Storm",""
"Control Winds","XGE","152","5th","Action","Concentration, up to 1 hour","Transmutation","300 feet","V, S","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You take control of the air in a 100-foot cube that you can see within range. Choose one of the following effects when you cast the spell. The effect lasts for the spell's duration, unless you use your action on a later turn to switch to a different effect. You can also use your action to temporarily halt the effect or to restart one you've halted. Gusts. A wind picks up within the cube, continually blowing in a horizontal direction you designate. You choose the intensity of the wind: calm, moderate, or strong. If the wind is moderate or strong, ranged weapon attacks that pass through it or that are made against targets within the cube have disadvantage on their attack rolls. If the wind is strong, any creature moving against the wind must spend 1 extra foot of movement for each foot moved. Downdraft. You cause a sustained blast of strong wind to blow downward from the top of the cube. Ranged weapon attacks that pass through the cube or that are made against targets within it have disadvantage on their attack rolls. A creature must make a Strength saving throw if it flies into the cube for the first time on a turn or starts its turn there flying. On a failed save, the creature is knocked prone. Updraft. You cause a sustained updraft within the cube, rising upward from the cube's bottom side. Creatures that end a fall within the cube take only half damage from the fall. When a creature in the cube makes a vertical jump, the creature can jump up to 10 feet higher than normal.",""
"Create Bonfire","XGE","152","Cantrip","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S","Artificer, Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","You create a bonfire on ground that you can see within range. Until the spell ends, the magic bonfire fills a 5-foot cube. Any creature in the bonfire's space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it moves into the bonfire's space for the first time on a turn or ends its turn there.The bonfire ignites flammable objects in its area that aren't being worn or carried.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",""
"Create or Destroy Water","PHB'24","258","1st","Action","Instantaneous","Transmutation","30 feet","V, S, M (a mix of water and sand)","Cleric, Druid","","You do one of the following:Create Water. You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot Cube within range, extinguishing exposed flames there.Destroy Water. You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot Cube within range."," Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1."
"Cure Wounds","PHB'24","259","1st","Action","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1."
"Darkvision","PHB'24","260","2nd","Action","8 hours","Transmutation","Touch","V, S, M (a dried carrot)","Artificer, Druid, Ranger, Sorcerer, Wizard","","For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",""
"Daylight","PHB'24","260","3rd","Action","1 hour","Evocation","60 feet","V, S","Cleric, Druid, Paladin, Ranger, Sorcerer","","For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 feet.Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",""
"Detect Magic","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell's school of magic.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Detect Poison and Disease","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S, M (a yew leaf)","Cleric, Druid, Paladin, Ranger","","For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Dispel Magic","PHB'24","264","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends."," Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use."
"Divination","PHB'24","264","4th","Action","Instantaneous","Divination (ritual)","Self","V, S, M (incense worth 25+ GP, which the spell consumes)","Cleric, Druid, Wizard","","This spell puts you in contact with a god or a god's servants. You ask one question about a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply, which might be a short phrase or cryptic rhyme. The spell doesn't account for circumstances that might change the answer, such as the casting of other spells.If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Dominate Beast","PHB'24","265","4th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Druid, Ranger, Sorcerer","","One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.You can command the target to take a Reaction but must take your own Reaction to do so."," Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
"Draconic Transformation","FTD","19","7th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S, M (a statuette of a dragon, worth at least 500 gp)","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","With a roar, you draw on the magic of dragons to transform yourself, taking on draconic features. You gain the following benefits until the spell ends:Blindsight. You have blindsight with a range of 30 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature, unless the creature successfully hides from you.Breath Weapon. When you cast this spell, and as a bonus action on subsequent turns for the duration, you can exhale shimmering energy in a 60-foot cone. Each creature in that area must make a Dexterity saving throw, taking 6d8 force damage on a failed save, or half as much damage on a successful one.Wings. Incorporeal wings sprout from your back, giving you a flying speed of 60 feet.",""
