"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Daylight","PHB'24","260","3rd","Action","1 hour","Evocation","60 feet","V, S","Cleric, Druid, Paladin, Ranger, Sorcerer","","For the duration, sunlight spreads from a point within range and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 feet.Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",""
"Detect Magic","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","For the duration, you sense the presence of magical effects within 30 feet of yourself. If you sense such effects, you can take the Magic action to see a faint aura around any visible creature or object in the area that bears the magic, and if an effect was created by a spell, you learn the spell's school of magic.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Detect Poison and Disease","PHB'24","262","1st","Action","Concentration, up to 10 minutes","Divination (ritual)","Self","V, S, M (a yew leaf)","Cleric, Druid, Paladin, Ranger","","For the duration, you sense the location of poisons, poisonous or venomous creatures, and magical contagions within 30 feet of yourself. You sense the kind of poison, creature, or contagion in each case.The spell is blocked by 1 foot of stone, dirt, or wood; 1 inch of metal; or a thin sheet of lead.",""
"Dispel Magic","PHB'24","264","3rd","Action","Instantaneous","Abjuration","120 feet","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Warlock, Wizard","","Choose one creature, object, or magical effect within range. Any ongoing spell of level 3 or lower on the target ends. For each ongoing spell of level 4 or higher on the target, make an ability check using your spellcasting ability (DC 10 plus that spell's level). On a successful check, the spell ends."," Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use."
"Dominate Beast","PHB'24","265","4th","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Druid, Ranger, Sorcerer","","One Beast you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target has Advantage on the save if you or your allies are fighting it. Whenever the target takes damage, it repeats the save, ending the spell on itself on a success.You have a telepathic link with the Charmed target while the two of you are on the same plane of existence. On your turn, you can use this link to issue commands to the target (no action required), such as ""Attack that creature,"" ""Move over there,"" or ""Fetch that object."" The target does its best to obey on its turn. If it completes an order and doesn't receive further direction from you, it acts and moves as it likes, focusing on protecting itself.You can command the target to take a Reaction but must take your own Reaction to do so."," Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours)."
"Elemental Weapon","PHB'24","267","3rd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Druid, Paladin, Ranger","","A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: Acid, Cold, Fire, Lightning, or Thunder. For the duration, the weapon has a +1 bonus to attack rolls and deals an extra 1d4 damage of the chosen type when it hits."," Using a Higher-Level Spell Slot. If you use a level 5-6 spell slot, the bonus to attack rolls increases to +2, and the extra damage increases to 2d4. If you use a level 7+ spell slot, the bonus increases to +3, and the extra damage increases to 3d4."
"Enhance Ability","PHB'24","268","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (fur or a feather)","Artificer, Bard, Cleric, Druid, Ranger, Sorcerer, Wizard","","You touch a creature and choose Strength, Dexterity, Intelligence, Wisdom, or Charisma. For the duration, the target has Advantage on ability checks using the chosen ability."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target."
"Ensnaring Strike","PHB'24","268","1st","Bonus","Concentration, up to 1 minute","Conjuration","Self","V","Ranger","","As you hit the target, grasping vines appear on it, and it makes a Strength saving throw. A Large or larger creature has Advantage on this save. On a failed save, the target has the Restrained condition until the spell ends. On a successful save, the vines shrivel away, and the spell ends.While Restrained, the target takes 1d6 Piercing damage at the start of each of its turns. The target or a creature within reach of it can take an action to make a Strength (Athletics) check against your spell save DC. On a success, the spell ends."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Entangle","PHB'24","268","1st","Action","Concentration, up to 1 minute","Conjuration","90 feet","V, S","Druid, Ranger","","Grasping plants sprout from the ground in a 20-foot square within range. For the duration, these plants turn the ground in the area into Difficult Terrain. They disappear when the spell ends.Each creature (other than you) in the area when you cast the spell must succeed on a Strength saving throw or have the Restrained condition until the spell ends. A Restrained creature can take an action to make a Strength (Athletics) check against your spell save DC. On a success, it frees itself from the grasping plants and is no longer Restrained by them.",""
"Find Traps","PHB'24","273","2nd","Action","Instantaneous","Divination","120 feet","V, S","Cleric, Druid, Ranger","","You sense any trap within range that is within line of sight. A trap, for the purpose of this spell, includes any object or mechanism that was created to cause damage or other danger. Thus, the spell would sense the Alarm or Glyph of Warding spell or a mechanical pit trap, but it wouldn't reveal a natural weakness in the floor, an unstable ceiling, or a hidden sinkhole.This spell reveals that a trap is present but not its location. You do learn the general nature of the danger posed by a trap you sense.",""
"Flame Arrows","XGE","156","3rd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","You touch a quiver containing arrows or bolts. When a target is hit by a ranged weapon attack using a piece of ammunition drawn from the quiver, the target takes an extra 1d6 fire damage. The spell's magic ends on a piece of ammunition when it hits or misses, and the spell ends when twelve pieces of ammunition have been drawn from the quiver."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the number of pieces of ammunition you can affect with this spell increases by two for each slot level above 3rd."
"Fog Cloud","PHB'24","276","1st","Action","Concentration, up to 1 hour","Conjuration","120 feet","V, S","Druid, Ranger, Sorcerer, Wizard","","You create a 20-foot-radius Sphere of fog centered on a point within range. The Sphere is Heavily Obscured. It lasts for the duration or until a strong wind (such as one created by Gust of Wind) disperses it."," Using a Higher-Level Spell Slot. The fog's radius increases by 20 feet for each spell slot level above 1."
"Freedom of Movement","PHB'24","277","4th","Action","1 hour","Abjuration","Touch","V, S, M (a leather strap)","Artificer, Bard, Cleric, Druid, Ranger","","You touch a willing creature. For the duration, the target's movement is unaffected by Difficult Terrain, and spells and other magical effects can neither reduce the target's Speed nor cause the target to have the Paralyzed or Restrained conditions. The target also has a Swim Speed equal to its Speed.In addition, the target can spend 5 feet of movement to automatically escape from nonmagical restraints, such as manacles or a creature imposing the Grappled condition on it."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Goodberry","PHB'24","280","1st","Action","24 hours","Conjuration","Touch","V, S, M (a sprig of mistletoe)","Druid, Ranger","","Ten berries appear in your hand and are infused with magic for the duration. A creature can take a Bonus Action to eat one berry. Eating a berry restores 1 Hit Point, and the berry provides enough nourishment to sustain a creature for one day.Uneaten berries disappear when the spell ends.",""
"Grasping Vine","PHB'24","280","4th","Bonus","Concentration, up to 1 minute","Conjuration","60 feet","V, S","Druid, Ranger","","You conjure a vine that sprouts from a surface in an unoccupied space that you can see within range. The vine lasts for the duration.Make a melee spell attack against a creature within 30 feet of the vine. On a hit, the target takes 4d8 Bludgeoning damage and is pulled up to 30 feet toward the vine; if the target is Huge or smaller, it has the Grappled condition (escape DC equal to your spell save DC). The vine can grapple only one creature at a time, and you can cause the vine to release a Grappled creature (no action required).As a Bonus Action on your later turns, you can repeat the attack against a creature within 30 feet of the vine."," Using a Higher-Level Spell Slot. The number of creatures the vine can grapple increases by one for each spell slot level above 4."
"Greater Restoration","PHB'24","281","5th","Action","Instantaneous","Abjuration","Touch","V, S, M (diamond dust worth 100+ GP, which the spell consumes)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and magically remove one of the following effects from it:1 Exhaustion levelThe Charmed or Petrified conditionA curse, including the target's Attunement to a cursed magic itemAny reduction to one of the target's ability scoresAny reduction to the target's Hit Point maximum",""
"Guardian of Nature","XGE","157","4th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V","Druid, Druid, Ranger, Ranger","","A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume: Primal Beast or Great Tree. Primal Beast. Bestial fur covers your body, your facial features become feral, and you gain the following benefits:Your walking speed increases by 10 feet.You gain darkvision with a range of 120 feet.You make Strength-based attack rolls with advantage.Your melee weapon attacks deal an extra 1d6 force damage on a hit. Great Tree. Your skin appears barky, leaves sprout from your hair, and you gain the following benefits:You gain 10 temporary hit points.You make Constitution saving throws with advantage.You make Dexterity- and Wisdom-based attack rolls with advantage.While you are on the ground, the ground within 15 feet of you is difficult terrain for your enemies.",""
"Gust of Wind","PHB'24","282","2nd","Action","Concentration, up to 1 minute","Evocation","Self","V, S, M (a legume seed)","Druid, Ranger, Sorcerer, Wizard","","A Line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the duration. Each creature in the Line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the Line. A creature that ends its turn in the Line must make the same save.Any creature in the Line must spend 2 feet of movement for every 1 foot it moves when moving closer to you.The gust disperses gas or vapor, and it extinguishes candles and similar unprotected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them.As a Bonus Action on your later turns, you can change the direction in which the Line blasts from you.",""
"Hail of Thorns","PHB'24","283","1st","Bonus","Instantaneous","Conjuration","Self","V","Ranger","","As you hit the creature, this spell creates a rain of thorns that sprouts from your Ranged weapon or ammunition. The target of the attack and each creature within 5 feet of it make a Dexterity saving throw, taking 1d10 Piercing damage on a failed save or half as much damage on a successful one."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1."
"Healing Spirit","XGE","157","2nd","Bonus","Concentration, up to 1 minute","Conjuration","60 feet","V, S","Druid, Druid, Ranger, Ranger","","You call forth a nature spirit to soothe the wounded. The intangible spirit appears in a space that is a 5-foot cube you can see within range. The spirit looks like a transparent beast or fey (your choice).Until the spell ends, whenever you or a creature you can see moves into the spirit's space for the first time on a turn or starts its turn there, you can cause the spirit to restore 1d6 hit points to that creature (no action required). The spirit can't heal constructs or undead. The spirit can heal a number of times equal to 1 + your spellcasting ability modifier (minimum of twice). After healing that number of times, the spirit disappears.As a bonus action on your turn, you can move the spirit up to 30 feet to a space you can see."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d6 for each slot level above 2nd."
"Hunter's Mark","PHB'24","287","1st","Bonus","Concentration, up to 1 hour","Divination","90 feet","V","Ranger","","You magically mark one creature you can see within range as your quarry. Until the spell ends, you deal an extra 1d6 Force damage to the target whenever you hit it with an attack roll. You also have Advantage on any Wisdom (Perception or Survival) check you make to find it.If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action to move the mark to a new creature you can see within range."," Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 3-4 (up to 8 hours) or 5+ (up to 24 hours)."
"Jump","PHB'24","290","1st","Bonus","1 minute","Transmutation","Touch","V, S, M (a grasshopper's hind leg)","Artificer, Druid, Ranger, Sorcerer, Wizard","","You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Lesser Restoration","PHB'24","291","2nd","Bonus","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned.",""
"Lightning Arrow","PHB'24","292","3rd","Bonus","Instantaneous","Transmutation","Self","V, S","Ranger","","As your attack hits or misses the target, the weapon or ammunition you're using transforms into a lightning bolt. Instead of taking any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss. Each creature within 10 feet of the target then makes a Dexterity saving throw, taking 2d8 Lightning damage on a failed save or half as much damage on a successful one.The weapon or ammunition then returns to its normal form."," Using a Higher-Level Spell Slot. The damage for both effects of the spell increases by 1d8 for each spell slot level above 3."
"Locate Animals or Plants","PHB'24","292","2nd","Action","Instantaneous","Divination (ritual)","Self","V, S, M (fur from a bloodhound)","Bard, Druid, Ranger","","Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. You learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.",""
"Locate Creature","PHB'24","292","4th","Action","Concentration, up to 1 hour","Divination","Self","V, S, M (fur from a bloodhound)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name a creature that is familiar to you. You sense the direction to the creature's location if that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.The spell can locate a specific creature known to you or the nearest creature of a specific kind (such as a human or a unicorn) if you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a different form, such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn't locate the creature.This spell can't locate a creature if any thickness of lead blocks a direct path between you and the creature.",""
"Locate Object","PHB'24","293","2nd","Action","Concentration, up to 10 minutes","Divination","Self","V, S, M (a forked twig)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name an object that is familiar to you. You sense the direction to the object's location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.This spell can't locate an object if any thickness of lead blocks a direct path between you and the object.",""
"Longstrider","PHB'24","293","1st","Action","1 hour","Transmutation","Touch","V, S, M (a pinch of dirt)","Artificer, Bard, Druid, Ranger, Wizard","","You touch a creature. The target's Speed increases by 10 feet until the spell ends."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Magic Weapon","PHB'24","295","2nd","Bonus","1 hour","Transmutation","Touch","V, S","Artificer, Paladin, Ranger, Sorcerer, Wizard","","You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls. The spell ends early if you cast it again."," Using a Higher-Level Spell Slot. The bonus increases to +2 with a level 3-5 spell slot. The bonus increases to +3 with a level 6+ spell slot."
"Meld into Stone","PHB'24","296","3rd","Action","8 hours","Transmutation (ritual)","Touch","V, S","Cleric, Druid, Ranger","","You step into a stone object or surface large enough to fully contain your body, merging yourself and your equipment with the stone for the duration. You must touch the stone to do so. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.While merged with the stone, you can't see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with Disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use 5 feet of movement to leave the stone where you entered it, which ends the spell. You otherwise can't move.Minor physical damage to the stone doesn't harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 Force damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 Force damage to you. If expelled, you move into an unoccupied space closest to where you first entered and have the Prone condition.",""
"Nondetection","PHB'24","302","3rd","Action","8 hours","Abjuration","Touch","V, S, M (a pinch of diamond dust worth 25+ GP, which the spell consumes)","Bard, Ranger, Wizard","","For the duration, you hide a target that you touch from Divination spells. The target can be a willing creature, or it can be a place or an object no larger than 10 feet in any dimension. The target can't be targeted by any Divination spell or perceived through magical scrying sensors.",""
"Pass without Trace","PHB'24","303","2nd","Action","Concentration, up to 1 hour","Abjuration","Self","V, S, M (ashes from burned mistletoe)","Druid, Ranger","","You radiate a concealing aura in a 30-foot Emanation for the duration. While in the aura, you and each creature you choose have a +10 bonus to Dexterity (Stealth) checks and leave no tracks.",""
"Plant Growth","PHB'24","305","3rd","Action","Instantaneous","Transmutation","150 feet","V, S","Bard, Druid, Ranger","","This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year.",""
"Protection from Energy","PHB'24","309","3rd","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard","","For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fire, Lightning, or Thunder.",""
"Protection from Poison","PHB'24","310","2nd","Action","1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage.",""
"Revivify","PHB'24","312","3rd","Action","Instantaneous","Necromancy","Touch","V, S, M (a diamond worth 300+ GP, which the spell consumes)","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can't revive a creature that has died of old age, nor does it restore any missing body parts.",""
"Silence","PHB'24","316","2nd","Action","Concentration, up to 10 minutes","Illusion (ritual)","120 feet","V, S","Bard, Cleric, Ranger","","For the duration, no sound can be created within or pass through a 20-foot-radius Sphere centered on a point you choose within range. Any creature or object entirely inside the Sphere has Immunity to Thunder damage, and creatures have the Deafened condition while entirely inside it. Casting a spell that includes a Verbal component is impossible there.",""
"Snare","XGE","165","1st","1 Min.","8 hours","Abjuration","Touch","S, M (25 feet of rope, which the spell consumes)","Artificer, Druid, Druid, Ranger, Ranger, Wizard, Wizard","","As you cast this spell, you use the rope to create a circle with a 5-foot radius on the ground or the floor. When you finish casting, the rope disappears and the circle becomes a magic trap.This trap is nearly invisible, requiring a successful Intelligence (Investigation) check against your spell save DC to be discerned.The trap triggers when a Small, Medium, or Large creature moves onto the ground or the floor in the spell's radius. That creature must succeed on a Dexterity saving throw or be magically hoisted into the air, leaving it hanging upside down 3 feet above the ground or the floor. The creature is restrained there until the spell ends.A restrained creature can make a Dexterity saving throw at the end of each of its turns, ending the effect on itself on a success. Alternatively, the creature or someone else who can reach it can use an action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained effect ends.After the trap is triggered, the spell ends when no creature is restrained by it.",""
"Speak with Animals","PHB'24","318","1st","Action","10 minutes","Divination (ritual)","Self","V, S","Bard, Druid, Ranger, Warlock","","For the duration, you can comprehend and verbally communicate with Beasts, and you can use any of the Influence action's skill options with them.Most Beasts have little to say about topics that don't pertain to survival or companionship, but at minimum, a Beast can give you information about nearby locations and monsters, including whatever it has perceived within the past day.",""
